;Anime 2
Angel Beats!;Charlotte 
Angel Beats!;Suzumiya Haruhi no Yuuutsu 
Angel Beats!;Death Parade 
Angel Beats!;Clannad 
Angel Beats!;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. 
Angel Beats!;Clannad: After Story 
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Ano Natsu de Matteru 
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Nagi no Asu kara 
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Angel Beats! 
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Clannad: After Story 
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Shigatsu wa Kimi no Uso 
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;Clannad 
Bakemonogatari;Yahari Ore no Seishun Love Comedy wa Machigatteiru. 
Bakemonogatari;Yojouhan Shinwa Taikei 
Bakemonogatari;Arakawa Under the Bridge 
Bakemonogatari;xxxHOLiC 
Bakemonogatari;Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai 
Bakemonogatari;Katanagatari 
Bleach;Naruto: Shippuuden 
Bleach;Yuu_Yuu_Hakusho 
Bleach;Busou Renkin 
Bleach;D.Gray-man 
Bleach;Naruto 
Bleach;Soul Eater 
Boku dake ga Inai Machi;Orange 
Boku dake ga Inai Machi;ReLIFE 
Boku dake ga Inai Machi;Re:Zero kara Hajimeru Isekai Seikatsu 
Boku dake ga Inai Machi;"Steins;Gate "
Boku dake ga Inai Machi;Yakusoku no Neverland 
Boku dake ga Inai Machi;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. 
Boku no Hero Academia;Ansatsu Kyoushitsu 
Boku no Hero Academia;Tiger & Bunny 
Boku no Hero Academia;One Punch Man 
Boku no Hero Academia;Hunter x Hunter 
Boku no Hero Academia;Black Clover 
Boku no Hero Academia;Naruto 
Clannad;Air 
Clannad;Little Busters! 
Clannad;Kanon (2006)
Clannad;Toradora! 
Clannad;Angel Beats! 
Clannad;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. 
Clannad: After Story;Itazura na Kiss 
Clannad: After Story;Little Busters!: Refrain 
Clannad: After Story;Shigatsu wa Kimi no Uso 
Clannad: After Story;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. 
Clannad: After Story;Angel Beats! 
Clannad: After Story;Kanon (2006)
Code Geass: Hangyaku no Lelouch;Ginga Eiyuu Densetsu
Code Geass: Hangyaku no Lelouch;Aldnoah.Zero 
Code Geass: Hangyaku no Lelouch;Mobile Suit Gundam 00 
Code Geass: Hangyaku no Lelouch;Guilty Crown 
Code Geass: Hangyaku no Lelouch;Death Note 
Code Geass: Hangyaku no Lelouch;No Game No Life 
Code Geass: Hangyaku no Lelouch R2;Ginga Eiyuu Densetsu 
Code Geass: Hangyaku no Lelouch R2;Guilty Crown 
Code Geass: Hangyaku no Lelouch R2;Mobile Suit Gundam 00 
Code Geass: Hangyaku no Lelouch R2;Death Note 
Code Geass: Hangyaku no Lelouch R2;Tengen Toppa Gurren Lagann 
Code Geass: Hangyaku no Lelouch R2;"Steins;Gate "
Cowboy Bebop;Trigun 
Cowboy Bebop;Black Lagoon 
Cowboy Bebop;Seihou Bukyou Outlaw Star 
Cowboy Bebop;Space_Dandy 
Cowboy Bebop;Samurai Champloo 
Cowboy Bebop;Baccano! 
Death Note;Code Geass: Hangyaku no Lelouch R2 
Death Note;Zankyou no Terror
Death Note;Code Geass: Hangyaku no Lelouch
Death Note;Monster
Death Note;Psycho-Pass
Death Note;Mirai Nikki
Dragon Ball Z;Yuu_Yuu_Hakusho 
Dragon Ball Z;One Piece 
Dragon Ball Z;Naruto 
Dragon Ball Z;One Punch Man 
Dragon Ball Z;Fairy Tail 
Dragon Ball Z;Hunter x Hunter
Durarara!!;K 
Durarara!!;Hakata Tonkotsu Ramens 
Durarara!!;Kamisama no Memochou 
Durarara!!;Kekkai Sensen 
Durarara!!;Baccano! 
Durarara!!;Death Note 
Fairy Tail;Nanatsu no Taizai 
Fairy Tail;Groove Adventure Rave 
Fairy Tail;One Piece 
Fairy Tail;Naruto 
Fairy Tail;Soul Eater 
Fairy Tail;Black Clover 
Fate/Zero;Mirai Nikki 
Fate/Zero;Kara no Kyoukai 1: Fukan Fuukei 
Fate/Zero;Re:Creators 
Fate/Zero;Juuni Taisen 
Fate/Zero;Psycho-Pass 
Fate/Zero;Mahou Shoujo Madoka_Magica 
Fullmetal Alchemist;Chrno Crusade 
Fullmetal Alchemist;D.Gray-man 
Fullmetal Alchemist;Busou Renkin 
Fullmetal Alchemist;Ao no Exorcist 
Fullmetal Alchemist;Soul Eater 
Fullmetal Alchemist;Baccano! 
Fullmetal Alchemist: Brotherhood;D.Gray-man
Fullmetal Alchemist: Brotherhood;Ao no Exorcist
Fullmetal Alchemist: Brotherhood;Baccano!
Fullmetal Alchemist: Brotherhood;Hunter x Hunter
Fullmetal Alchemist: Brotherhood;Shingeki no Kyojin
Fullmetal Alchemist: Brotherhood;Code Geass: Hangyaku no Lelouch
Gintama;SKET Dance 
Gintama;Danshi Koukousei no Nichijou 
Gintama;Beelzebub 
Gintama;Rurouni Kenshin: Meiji Kenkaku Romantan 
Gintama;Saiki Kusuo no _-nan 
Gintama;One Punch Man 
Haikyuu!!;Kuroko no Basket 
Haikyuu!!;Diamond no Ace
Haikyuu!!;Free!
Haikyuu!!;Kaze ga Tsuyoku Fuiteiru 
Haikyuu!!;Ookiku Furikabutte 
Haikyuu!!;Yowamushi Pedal 
Hunter x Hunter;Yuu_Yuu_Hakusho
Hunter x Hunter;Made in Abyss 
Hunter x Hunter;Fullmetal Alchemist: Brotherhood
Hunter x Hunter;One Piece
Hunter x Hunter;Naruto
Hunter x Hunter;Boku no Hero Academia
Kill la Kill;Shoujo Kakumei Utena 
Kill la Kill;Uchuu Patrol Luluco 
Kill la Kill;Akame ga Kill! 
Kill la Kill;Panty & Stocking with Garterbelt 
Kill la Kill;Tengen Toppa Gurren Lagann 
Kill la Kill;FLCL 
Kimetsu no Yaiba;Fullmetal Alchemist: Brotherhood 
Kimetsu no Yaiba;Dororo 
Kimetsu no Yaiba;Hunter x Hunter 
Kimetsu no Yaiba;Ao no Exorcist 
Kimetsu no Yaiba;Shingeki no Kyojin 
Kimetsu no Yaiba;Bleach 
Kimi no Na wa.;Byousoku 5 Centimeter
Kimi no Na wa.;Kokoro Connect 
Kimi no Na wa.;Toki wo Kakeru Shoujo 
Kimi no Na wa.;Tenki no Ko 
Kimi no Na wa.;Koe no Katachi
Kimi no Na wa.;Shigatsu wa Kimi no Uso 
Koe no Katachi;Kimi no Na wa. 
Koe no Katachi;Violet Evergarden 
Koe no Katachi;Kokoro ga Sakebitagatterunda. 
Koe no Katachi;Colorful (Movie) 
Koe no Katachi;Shigatsu wa Kimi no Uso 
Koe no Katachi;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. 
Kono Subarashii Sekai ni Shukufuku wo!;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka 
Kono Subarashii Sekai ni Shukufuku wo!;Isekai wa Smartphone to Tomo ni. 
Kono Subarashii Sekai ni Shukufuku wo!;Shinchou Yuusha: Kono Yuusha ga Ore Tsueee Kuse ni Shinchou Sugiru 
Kono Subarashii Sekai ni Shukufuku wo!;Re:Zero kara Hajimeru Isekai Seikatsu 
Kono Subarashii Sekai ni Shukufuku wo!;No Game No Life 
Kono Subarashii Sekai ni Shukufuku wo!;Sword Art Online 
Made in Abyss;Shoujo Shuumatsu Ryokou 
Made in Abyss;Yakusoku no Neverland 
Made in Abyss;Shinsekai yori 
Made in Abyss;Mahou Shoujo Madoka_Magica 
Made in Abyss;Shingeki no Kyojin 
Made in Abyss;Hunter x Hunter
Mahou Shoujo Madoka_Magica;Neon Genesis Evangelion 
Mahou Shoujo Madoka_Magica;Selector Infected WIXOSS 
Mahou Shoujo Madoka_Magica;Gakkougurashi! 
Mahou Shoujo Madoka_Magica;Yuuki Yuuna wa Yuusha de Aru 
Mahou Shoujo Madoka_Magica;Black_Rock Shooter (TV) 
Mahou Shoujo Madoka_Magica;"Steins;Gate "
Mirai Nikki;Higashi no Eden 
Mirai Nikki;Elfen Lied 
Mirai Nikki;Btooom! 
Mirai Nikki;Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation 
Mirai Nikki;Deadman Wonderland 
Mirai Nikki;Death Note 
Monster;Gankutsuou 
Monster;Kenpuu Denki Berserk 
Monster;Ginga Eiyuu Densetsu 
Monster;Psycho-Pass 
Monster;Zankyou no Terror 
Monster;Death Note 
Naruto;Bleach 
Naruto;Boku no Hero Academia 
Naruto;Black Clover 
Naruto;One Piece 
Naruto;Fairy Tail 
Naruto;Hunter x Hunter
Naruto: Shippuuden;Nabari no Ou
Naruto: Shippuuden;Bleach 
Naruto: Shippuuden;Fairy Tail 
Naruto: Shippuuden;One Piece
Naruto: Shippuuden;Hunter x Hunter
Naruto: Shippuuden;Fullmetal Alchemist: Brotherhood
Neon Genesis Evangelion;Serial Experiments Lain 
Neon Genesis Evangelion;RahXephon 
Neon Genesis Evangelion;Mahou Shoujo Madoka_Magica 
Neon Genesis Evangelion;Koukyoushihen Eureka Seven 
Neon Genesis Evangelion;Shingeki no Kyojin 
Neon Genesis Evangelion;Tengen Toppa Gurren Lagann 
No Game No Life;Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo? 
No Game No Life;Log Horizon 
No Game No Life;Sword Art Online 
No Game No Life;Kono Subarashii Sekai ni Shukufuku wo!
No Game No Life;Death Note
No Game No Life;Code Geass: Hangyaku no Lelouch
Noragami;Kamisama Hajimemashita 
Noragami;Kyoukai no Kanata 
Noragami;Blood Lad 
Noragami;Hataraku Maou-sama! 
Noragami;Ao no Exorcist 
Noragami;Soul Eater 
One Piece;Toriko
One Piece;Dragon Ball
One Piece;Dragon Ball Z 
One Piece;Fairy Tail 
One Piece;Naruto
One Piece;Hunter x Hunter
One Punch Man;Mob Psycho 100 
One Punch Man;Overlord 
One Punch Man;Gintama 
One Punch Man;Boku no Hero Academia 
One Punch Man;Saiki Kusuo no _-nan 
One Punch Man;Hataraku Maou-sama! 
Ouran Koukou Host Club;Special A 
Ouran Koukou Host Club;Fruits Basket 
Ouran Koukou Host Club;Yamato Nadeshiko Shichihenge_
Ouran Koukou Host Club;Kaichou wa Maid-sama! 
Ouran Koukou Host Club;Aoharu x Kikanjuu 
Ouran Koukou Host Club;Gekkan Shoujo Nozaki-kun
Psycho-Pass;Koukaku Kidoutai: Stand Alone Complex 
Psycho-Pass;Ergo Proxy 
Psycho-Pass;Koukaku Kidoutai 
Psycho-Pass;Zankyou no Terror 
Psycho-Pass;Shinsekai yori 
Psycho-Pass;Death Note 
Re:Zero kara Hajimeru Isekai Seikatsu;Boku dake ga Inai Machi 
Re:Zero kara Hajimeru Isekai Seikatsu;Tate no Yuusha no Nariagari 
Re:Zero kara Hajimeru Isekai Seikatsu;Higurashi no Naku Koro ni 
Re:Zero kara Hajimeru Isekai Seikatsu;Kono Subarashii Sekai ni Shukufuku wo! 
Re:Zero kara Hajimeru Isekai Seikatsu;"Steins;Gate "
Re:Zero kara Hajimeru Isekai Seikatsu;Mahou Shoujo Madoka_Magica 
Sakura-sou no Pet na Kanojo;Bokura wa Minna Kawai-sou 
Sakura-sou no Pet na Kanojo;Hachimitsu to Clover 
Sakura-sou no Pet na Kanojo;Saenai Heroine no Sodatekata 
Sakura-sou no Pet na Kanojo;Toradora! 
Sakura-sou no Pet na Kanojo;Golden Time 
Sakura-sou no Pet na Kanojo;Shigatsu wa Kimi no Uso 
Samurai Champloo;Cowboy Bebop 
Samurai Champloo;Afro Samurai 
Samurai Champloo;Stranger: Mukou Hadan 
Samurai Champloo;Michiko to Hatchin 
Samurai Champloo;Rurouni Kenshin: Meiji Kenkaku Romantan 
Samurai Champloo;Katanagatari 
Shigatsu wa Kimi no Uso;Nodame Cantabile 
Shigatsu wa Kimi no Uso;3-gatsu no Lion 
Shigatsu wa Kimi no Uso;Sakamichi no Apollon 
Shigatsu wa Kimi no Uso;Kimi no Suizou wo Tabetai 
Shigatsu wa Kimi no Uso;Clannad: After Story 
Shigatsu wa Kimi no Uso;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. 
Shingeki no Kyojin;Koutetsujou no Kabaneri 
Shingeki no Kyojin;Claymore 
Shingeki no Kyojin;Owari no Seraph 
Shingeki no Kyojin;Black Bullet 
Shingeki no Kyojin;Tokyo Ghoul 
Shingeki no Kyojin;Sidonia no Kishi 
"Steins;Gate";Toki wo Kakeru Shoujo
"Steins;Gate";NHK ni Youkoso! 
"Steins;Gate";Boku dake ga Inai Machi
"Steins;Gate";Re:Zero kara Hajimeru Isekai Seikatsu
"Steins;Gate";Mahou Shoujo Madoka_Magica
"Steins;Gate";Mirai Nikki
Sword Art Online;Accel World
Sword Art Online;Btooom!
Sword Art Online;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Sword Art Online;Overlord
Sword Art Online;Log Horizon
Sword Art Online;No Game No Life
Tengen Toppa Gurren Lagann;Darling in the FranXX
Tengen Toppa Gurren Lagann;Top wo Nerae 2! Diebuster
Tengen Toppa Gurren Lagann;FLCL 
Tengen Toppa Gurren Lagann;Koukyoushihen Eureka Seven 
Tengen Toppa Gurren Lagann;Kill la Kill
Tengen Toppa Gurren Lagann;Neon Genesis Evangelion
Tokyo Ghoul;Kiseijuu: Sei no Kakuritsu 
Tokyo Ghoul;Ajin 
Tokyo Ghoul;Shiki 
Tokyo Ghoul;Devils Line 
Tokyo Ghoul;Shingeki no Kyojin 
Tokyo Ghoul;Deadman Wonderland 
Toradora!;Zero no Tsukaima 
Toradora!;Sakura-sou no Pet na Kanojo 
Toradora!;Ookami-san to Shichinin no Nakama-tachi 
Toradora!;Lovely_Complex 
Toradora!;Golden Time 
Toradora!;Clannad 
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Boku wa Tomodachi ga Sukunai 
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV) 
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! 
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Hyouka 
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Bakemonogatari 
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai 
